dominance,influance,steadiness,compliance,tipe_kepribadian
8,5,1,4,dominance influance
8,5,1,3,dominance influance
8,5,1,2,dominance influance
8,5,1,1,dominance influance
7,5,3,3,dominance influance
7,5,3,2,dominance influance
7,5,3,1,dominance influance
7,5,2,3,dominance influance
7,5,2,2,dominance influance
7,5,2,1,dominance influance
7,5,1,3,dominance influance
7,5,1,2,dominance influance
7,5,1,1,dominance influance
7,4,3,3,dominance influance
7,4,3,2,dominance influance
7,4,3,1,dominance influance
7,4,2,3,dominance influance
7,4,2,2,dominance influance
7,4,2,1,dominance influance
7,4,1,3,dominance influance
7,4,1,2,dominance influance
7,4,1,1,dominance influance
6,5,2,2,dominance influance
6,5,2,1,dominance influance
6,5,1,2,dominance influance
6,5,1,1,dominance influance
6,2,2,2,dominance influance
6,4,2,1,dominance influance
6,4,1,2,dominance influance
6,4,1,1,dominance influance
6,3,2,2,dominance influance
6,3,2,1,dominance influance
6,3,1,2,dominance influance
6,3,1,1,dominance influance
5,4,1,1,dominance influance
5,3,1,1,dominance influance
5,2,1,1,dominance influance
8,4,7,4,dominance steadiness
8,4,7,3,dominance steadiness
8,4,7,2,dominance steadiness
8,4,7,1,dominance steadiness
8,3,7,4,dominance steadiness
8,3,7,3,dominance steadiness
8,3,7,2,dominance steadiness
8,3,7,1,dominance steadiness
8,2,7,4,dominance steadiness
8,2,7,3,dominance steadiness
8,2,7,2,dominance steadiness
8,2,7,1,dominance steadiness
8,1,7,4,dominance steadiness
8,1,7,3,dominance steadiness
8,1,7,2,dominance steadiness
8,1,7,1,dominance steadiness
8,4,6,4,dominance steadiness
8,4,6,3,dominance steadiness
8,4,6,2,dominance steadiness
8,4,6,1,dominance steadiness
8,3,6,4,dominance steadiness
8,3,6,3,dominance steadiness
8,3,6,2,dominance steadiness
8,3,6,1,dominance steadiness
8,2,6,4,dominance steadiness
8,2,6,3,dominance steadiness
8,2,6,2,dominance steadiness
8,2,6,1,dominance steadiness
8,1,6,4,dominance steadiness
8,1,6,3,dominance steadiness
8,1,6,2,dominance steadiness
8,1,6,1,dominance steadiness
8,4,5,4,dominance steadiness
8,4,5,3,dominance steadiness
8,4,5,2,dominance steadiness
8,4,5,1,dominance steadiness
8,3,5,4,dominance steadiness
8,3,5,3,dominance steadiness
8,3,5,2,dominance steadiness
8,3,5,1,dominance steadiness
8,2,5,4,dominance steadiness
8,2,5,3,dominance steadiness
8,2,5,2,dominance steadiness
8,2,5,1,dominance steadiness
8,1,5,4,dominance steadiness
8,1,5,3,dominance steadiness
8,1,5,2,dominance steadiness
8,1,5,1,dominance steadiness
7,3,5,3,dominance steadiness
7,3,5,2,dominance steadiness
7,3,5,1,dominance steadiness
7,2,5,3,dominance steadiness
7,2,5,2,dominance steadiness
7,2,5,1,dominance steadiness
7,1,5,3,dominance steadiness
7,1,5,2,dominance steadiness
7,1,5,1,dominance steadiness
7,3,4,3,dominance steadiness
7,3,4,2,dominance steadiness
7,3,4,1,dominance steadiness
7,2,4,3,dominance steadiness
7,2,4,2,dominance steadiness
7,2,4,1,dominance steadiness
7,1,4,3,dominance steadiness
7,1,4,2,dominance steadiness
7,1,4,1,dominance steadiness
6,2,5,2,dominance steadiness
6,2,5,1,dominance steadiness
6,1,5,2,dominance steadiness
6,1,5,1,dominance steadiness
6,2,2,2,dominance steadiness
6,2,4,1,dominance steadiness
6,1,4,2,dominance steadiness
6,1,4,1,dominance steadiness
6,2,3,2,dominance steadiness
6,2,3,1,dominance steadiness
6,1,3,2,dominance steadiness
6,1,3,1,dominance steadiness
5,1,4,1,dominance steadiness
5,1,3,1,dominance steadiness
5,1,2,1,dominance steadiness
8,4,4,7,dominance compliance
8,4,3,7,dominance compliance
8,4,2,7,dominance compliance
8,4,1,7,dominance compliance
8,3,4,7,dominance compliance
8,3,3,7,dominance compliance
8,3,2,7,dominance compliance
8,3,1,7,dominance compliance
8,2,4,7,dominance compliance
8,2,3,7,dominance compliance
8,2,2,7,dominance compliance
8,2,1,7,dominance compliance
8,1,4,7,dominance compliance
8,1,3,7,dominance compliance
8,1,2,7,dominance compliance
8,1,1,7,dominance compliance
8,4,4,6,dominance compliance
8,4,3,6,dominance compliance
8,4,2,6,dominance compliance
8,4,1,6,dominance compliance
8,3,4,6,dominance compliance
8,3,3,6,dominance compliance
8,3,2,6,dominance compliance
8,3,1,6,dominance compliance
8,2,4,6,dominance compliance
8,2,3,6,dominance compliance
8,2,2,6,dominance compliance
8,2,1,6,dominance compliance
8,1,4,6,dominance compliance
8,1,3,6,dominance compliance
8,1,2,6,dominance compliance
8,1,1,6,dominance compliance
8,4,4,5,dominance compliance
8,4,3,5,dominance compliance
8,4,2,5,dominance compliance
8,4,1,5,dominance compliance
8,3,4,5,dominance compliance
8,3,3,5,dominance compliance
8,3,2,5,dominance compliance
8,3,1,5,dominance compliance
8,2,4,5,dominance compliance
8,2,3,5,dominance compliance
8,2,2,5,dominance compliance
8,2,1,5,dominance compliance
8,1,4,5,dominance compliance
8,1,3,5,dominance compliance
8,1,2,5,dominance compliance
8,1,1,5,dominance compliance
7,3,3,6,dominance compliance
7,3,2,6,dominance compliance
7,3,1,6,dominance compliance
7,2,3,6,dominance compliance
7,2,2,6,dominance compliance
7,2,1,6,dominance compliance
7,1,3,6,dominance compliance
7,1,2,6,dominance compliance
7,1,1,6,dominance compliance
7,3,3,5,dominance compliance
7,3,2,5,dominance compliance
7,3,1,5,dominance compliance
7,2,3,5,dominance compliance
7,2,2,5,dominance compliance
7,2,1,5,dominance compliance
7,1,3,5,dominance compliance
7,1,2,5,dominance compliance
7,1,1,5,dominance compliance
7,3,3,4,dominance compliance
7,3,2,4,dominance compliance
7,3,1,4,dominance compliance
7,2,3,4,dominance compliance
7,2,2,4,dominance compliance
7,2,1,4,dominance compliance
7,1,3,4,dominance compliance
7,1,2,4,dominance compliance
7,1,1,4,dominance compliance
6,2,2,5,dominance compliance
6,2,1,5,dominance compliance
6,1,2,5,dominance compliance
6,1,1,5,dominance compliance
6,2,2,2,dominance compliance
6,2,1,4,dominance compliance
6,1,2,4,dominance compliance
6,1,1,4,dominance compliance
6,2,2,3,dominance compliance
6,2,1,3,dominance compliance
6,1,2,3,dominance compliance
6,1,1,3,dominance compliance
5,1,1,4,dominance compliance
5,1,1,3,dominance compliance
5,1,1,2,dominance compliance
8,7,6,5,dominance influance steadiness
8,7,6,4,dominance influance steadiness
8,7,6,3,dominance influance steadiness
8,7,6,2,dominance influance steadiness
8,7,6,1,dominance influance steadiness
7,6,5,4,dominance influance steadiness
7,6,5,3,dominance influance steadiness
7,6,5,2,dominance influance steadiness
7,6,5,1,dominance influance steadiness
6,5,4,3,dominance influance steadiness
6,5,4,2,dominance influance steadiness
6,5,4,1,dominance influance steadiness
5,4,3,2,dominance influance steadiness
5,4,3,1,dominance influance steadiness
4,3,2,1,dominance influance steadiness
8,7,5,6,dominance influance compliance
8,7,4,6,dominance influance compliance
8,7,3,6,dominance influance compliance
8,7,2,6,dominance influance compliance
8,7,1,6,dominance influance compliance
7,6,4,5,dominance influance compliance
7,6,3,5,dominance influance compliance
7,6,2,5,dominance influance compliance
7,6,1,5,dominance influance compliance
6,5,3,4,dominance influance compliance
6,5,2,4,dominance influance compliance
6,5,1,4,dominance influance compliance
5,4,2,3,dominance influance compliance
5,4,1,3,dominance influance compliance
4,3,1,2,dominance influance compliance
8,6,7,5,dominance steadiness influance
8,6,7,4,dominance steadiness influance
8,6,7,3,dominance steadiness influance
8,6,7,2,dominance steadiness influance
8,6,7,1,dominance steadiness influance
7,5,6,4,dominance steadiness influance
7,5,6,3,dominance steadiness influance
7,5,6,2,dominance steadiness influance
7,5,6,1,dominance steadiness influance
6,4,5,3,dominance steadiness influance
6,4,5,2,dominance steadiness influance
6,4,5,1,dominance steadiness influance
5,3,4,2,dominance steadiness influance
5,3,4,1,dominance steadiness influance
4,2,3,1,dominance steadiness influance
8,5,7,6,dominance steadiness compliance
8,4,7,6,dominance steadiness compliance
8,3,7,6,dominance steadiness compliance
8,2,7,6,dominance steadiness compliance
8,1,7,6,dominance steadiness compliance
7,4,6,5,dominance steadiness compliance
7,3,6,5,dominance steadiness compliance
7,2,6,5,dominance steadiness compliance
7,1,6,5,dominance steadiness compliance
6,3,5,4,dominance steadiness compliance
6,2,5,4,dominance steadiness compliance
6,1,5,4,dominance steadiness compliance
5,2,4,3,dominance steadiness compliance
5,1,4,3,dominance steadiness compliance
4,1,3,2,dominance steadiness compliance
8,6,5,7,dominance compliance influance
8,6,4,7,dominance compliance influance
8,6,3,7,dominance compliance influance
8,6,2,7,dominance compliance influance
8,6,1,7,dominance compliance influance
7,5,4,6,dominance compliance influance
7,5,3,6,dominance compliance influance
7,5,2,6,dominance compliance influance
7,5,1,6,dominance compliance influance
6,4,3,5,dominance compliance influance
6,4,2,5,dominance compliance influance
6,4,1,5,dominance compliance influance
5,3,2,4,dominance compliance influance
5,3,1,4,dominance compliance influance
4,2,1,3,dominance compliance influance
8,5,6,7,dominance compliance steadiness
8,4,6,7,dominance compliance steadiness
8,3,6,7,dominance compliance steadiness
8,2,6,7,dominance compliance steadiness
8,1,6,7,dominance compliance steadiness
7,4,5,6,dominance compliance steadiness
7,3,5,6,dominance compliance steadiness
7,2,5,6,dominance compliance steadiness
7,1,5,6,dominance compliance steadiness
6,3,4,5,dominance compliance steadiness
6,2,4,5,dominance compliance steadiness
6,1,4,5,dominance compliance steadiness
5,2,3,4,dominance compliance steadiness
5,1,3,4,dominance compliance steadiness
4,1,2,3,dominance compliance steadiness
8,6,5,7,dominance compliance influance
8,6,4,7,dominance compliance influance
8,6,3,7,dominance compliance influance
8,6,2,7,dominance compliance influance
8,6,1,7,dominance compliance influance
7,5,4,6,dominance compliance influance
7,5,3,6,dominance compliance influance
7,5,2,6,dominance compliance influance
7,5,1,6,dominance compliance influance
6,4,3,5,dominance compliance influance
6,4,2,5,dominance compliance influance
6,4,1,5,dominance compliance influance
5,3,2,4,dominance compliance influance
5,3,1,4,dominance compliance influance
4,2,1,3,dominance compliance influance
4,8,4,4,influance
4,8,4,3,influance
4,8,4,2,influance
4,8,4,1,influance
4,8,3,4,influance
4,8,3,3,influance
4,8,3,2,influance
4,8,3,1,influance
4,8,2,4,influance
4,8,2,3,influance
4,8,2,2,influance
4,8,2,1,influance
4,8,1,4,influance
4,8,1,3,influance
4,8,1,2,influance
4,8,1,1,influance
3,8,4,4,influance
3,8,4,3,influance
3,8,4,2,influance
3,8,4,1,influance
3,8,3,4,influance
3,8,3,3,influance
3,8,3,2,influance
3,8,3,1,influance
3,8,2,4,influance
3,8,2,3,influance
3,8,2,2,influance
3,8,2,1,influance
3,8,1,4,influance
3,8,1,3,influance
3,8,1,2,influance
3,8,1,1,influance
3,7,3,3,influance
3,7,3,2,influance
3,7,3,1,influance
3,7,2,3,influance
3,7,2,2,influance
3,7,2,1,influance
3,7,1,3,influance
3,7,1,2,influance
3,7,1,1,influance
2,7,2,2,influance
2,7,2,1,influance
2,7,1,2,influance
2,7,1,1,influance
1,7,2,2,influance
1,7,2,1,influance
1,7,1,1,influance
2,6,2,2,influance
2,6,2,1,influance
2,6,1,2,influance
2,6,1,1,influance
1,6,2,2,influance
1,6,2,1,influance
1,6,1,2,influance
1,6,1,1,influance
1,5,1,1,influance
7,8,4,4,influance dominance
7,8,4,3,influance dominance
7,8,4,2,influance dominance
7,8,4,1,influance dominance
7,8,3,4,influance dominance
7,8,3,3,influance dominance
7,8,3,2,influance dominance
7,8,3,1,influance dominance
7,8,2,4,influance dominance
7,8,2,3,influance dominance
7,8,2,2,influance dominance
7,8,2,1,influance dominance
7,8,1,4,influance dominance
7,8,1,3,influance dominance
7,8,1,2,influance dominance
7,8,1,1,influance dominance
6,8,4,4,influance dominance
6,8,4,3,influance dominance
6,8,4,2,influance dominance
6,8,4,1,influance dominance
6,8,3,4,influance dominance
6,8,3,3,influance dominance
6,8,3,2,influance dominance
6,8,3,1,influance dominance
6,8,2,4,influance dominance
6,8,2,3,influance dominance
6,8,2,2,influance dominance
6,8,2,1,influance dominance
6,8,1,4,influance dominance
6,8,1,3,influance dominance
6,8,1,2,influance dominance
6,8,1,1,influance dominance
5,8,4,4,influance dominance
5,8,4,3,influance dominance
5,8,4,2,influance dominance
5,8,4,1,influance dominance
5,8,3,4,influance dominance
5,8,3,3,influance dominance
5,8,3,2,influance dominance
5,8,3,1,influance dominance
5,8,2,4,influance dominance
5,8,2,3,influance dominance
5,8,2,2,influance dominance
5,8,2,1,influance dominance
5,8,1,4,influance dominance
5,8,1,3,influance dominance
5,8,1,2,influance dominance
5,8,1,1,influance dominance
6,7,3,3,influance dominance
6,7,3,2,influance dominance
6,7,3,1,influance dominance
6,7,2,3,influance dominance
6,7,2,2,influance dominance
6,7,2,1,influance dominance
6,7,1,3,influance dominance
6,7,1,2,influance dominance
6,7,1,1,influance dominance
5,7,3,3,influance dominance
5,7,3,2,influance dominance
5,7,3,1,influance dominance
5,7,2,3,influance dominance
5,7,2,2,influance dominance
5,7,2,1,influance dominance
5,7,1,3,influance dominance
5,7,1,2,influance dominance
5,7,1,1,influance dominance
4,7,3,3,influance dominance
4,7,3,2,influance dominance
4,7,3,1,influance dominance
4,7,2,3,influance dominance
4,7,2,2,influance dominance
4,7,2,1,influance dominance
4,7,1,3,influance dominance
4,7,1,2,influance dominance
4,7,1,1,influance dominance
5,6,2,2,influance dominance
5,6,2,1,influance dominance
5,6,1,2,influance dominance
5,6,1,1,influance dominance
2,6,2,2,influance dominance
4,6,2,1,influance dominance
4,6,1,2,influance dominance
4,6,1,1,influance dominance
3,6,2,2,influance dominance
3,6,2,1,influance dominance
3,6,1,2,influance dominance
3,6,1,1,influance dominance
4,5,1,1,influance dominance
3,5,1,1,influance dominance
2,5,1,1,influance dominance
4,8,7,4,influance steadiness
3,8,7,4,influance steadiness
2,8,7,4,influance steadiness
1,8,7,4,influance steadiness
4,8,7,3,influance steadiness
3,8,7,3,influance steadiness
2,8,7,3,influance steadiness
1,8,7,3,influance steadiness
4,8,7,2,influance steadiness
3,8,7,2,influance steadiness
2,8,7,2,influance steadiness
1,8,7,2,influance steadiness
4,8,7,1,influance steadiness
3,8,7,1,influance steadiness
2,8,7,1,influance steadiness
1,8,7,1,influance steadiness
4,8,6,4,influance steadiness
3,8,6,4,influance steadiness
2,8,6,4,influance steadiness
1,8,6,4,influance steadiness
4,8,6,3,influance steadiness
3,8,6,3,influance steadiness
2,8,6,3,influance steadiness
1,8,6,3,influance steadiness
4,8,6,2,influance steadiness
3,8,6,2,influance steadiness
2,8,6,2,influance steadiness
1,8,6,2,influance steadiness
4,8,6,1,influance steadiness
3,8,6,1,influance steadiness
2,8,6,1,influance steadiness
1,8,6,1,influance steadiness
4,8,5,4,influance steadiness
3,8,5,4,influance steadiness
2,8,5,4,influance steadiness
1,8,5,4,influance steadiness
4,8,5,3,influance steadiness
3,8,5,3,influance steadiness
2,8,5,3,influance steadiness
1,8,5,3,influance steadiness
4,8,5,2,influance steadiness
3,8,5,2,influance steadiness
2,8,5,2,influance steadiness
1,8,5,2,influance steadiness
4,8,5,1,influance steadiness
3,8,5,1,influance steadiness
2,8,5,1,influance steadiness
1,8,5,1,influance steadiness
3,7,6,3,influance steadiness
2,7,6,3,influance steadiness
1,7,6,3,influance steadiness
3,7,6,2,influance steadiness
2,7,6,2,influance steadiness
1,7,6,2,influance steadiness
3,7,6,1,influance steadiness
2,7,6,1,influance steadiness
1,7,6,1,influance steadiness
3,7,5,3,influance steadiness
2,7,5,3,influance steadiness
1,7,5,3,influance steadiness
3,7,5,2,influance steadiness
2,7,5,2,influance steadiness
1,7,5,2,influance steadiness
3,7,5,1,influance steadiness
2,7,5,1,influance steadiness
1,7,5,1,influance steadiness
3,7,4,3,influance steadiness
2,7,4,3,influance steadiness
1,7,4,3,influance steadiness
3,7,4,2,influance steadiness
2,7,4,2,influance steadiness
1,7,4,2,influance steadiness
3,7,4,1,influance steadiness
2,7,4,1,influance steadiness
1,7,4,1,influance steadiness
2,6,5,2,influance steadiness
1,6,5,2,influance steadiness
2,6,5,1,influance steadiness
1,6,5,1,influance steadiness
2,6,2,2,influance steadiness
1,6,4,2,influance steadiness
2,6,4,1,influance steadiness
1,6,4,1,influance steadiness
2,6,3,2,influance steadiness
1,6,3,2,influance steadiness
2,6,3,1,influance steadiness
1,6,3,1,influance steadiness
1,5,4,1,influance steadiness
1,5,3,1,influance steadiness
1,5,2,1,influance steadiness
4,8,4,7,influance compliance
4,8,3,7,influance compliance
4,8,2,7,influance compliance
4,8,1,7,influance compliance
3,8,4,7,influance compliance
3,8,3,7,influance compliance
3,8,2,7,influance compliance
3,8,1,7,influance compliance
2,8,4,7,influance compliance
2,8,3,7,influance compliance
2,8,2,7,influance compliance
2,8,1,7,influance compliance
1,8,4,7,influance compliance
1,8,3,7,influance compliance
1,8,2,7,influance compliance
1,8,1,7,influance compliance
4,8,4,6,influance compliance
4,8,3,6,influance compliance
4,8,2,6,influance compliance
4,8,1,6,influance compliance
3,8,4,6,influance compliance
3,8,3,6,influance compliance
3,8,2,6,influance compliance
3,8,1,6,influance compliance
2,8,4,6,influance compliance
2,8,3,6,influance compliance
2,8,2,6,influance compliance
2,8,1,6,influance compliance
1,8,4,6,influance compliance
1,8,3,6,influance compliance
1,8,2,6,influance compliance
1,8,1,6,influance compliance
4,8,4,5,influance compliance
4,8,3,5,influance compliance
4,8,2,5,influance compliance
4,8,1,5,influance compliance
3,8,4,5,influance compliance
3,8,3,5,influance compliance
3,8,2,5,influance compliance
3,8,1,5,influance compliance
2,8,4,5,influance compliance
2,8,3,5,influance compliance
2,8,2,5,influance compliance
2,8,1,5,influance compliance
1,8,4,5,influance compliance
1,8,3,5,influance compliance
1,8,2,5,influance compliance
1,8,1,5,influance compliance
3,7,3,6,influance compliance
3,7,2,6,influance compliance
3,7,1,6,influance compliance
2,7,3,6,influance compliance
2,7,2,6,influance compliance
2,7,1,6,influance compliance
1,7,3,6,influance compliance
1,7,2,6,influance compliance
1,7,1,6,influance compliance
3,7,3,5,influance compliance
3,7,2,5,influance compliance
3,7,1,5,influance compliance
2,7,3,5,influance compliance
2,7,2,5,influance compliance
2,7,1,5,influance compliance
1,7,3,5,influance compliance
1,7,2,5,influance compliance
1,7,1,5,influance compliance
3,7,3,4,influance compliance
3,7,2,4,influance compliance
3,7,1,4,influance compliance
2,7,3,4,influance compliance
2,7,2,4,influance compliance
2,7,1,4,influance compliance
1,7,3,4,influance compliance
1,7,2,4,influance compliance
1,7,1,4,influance compliance
2,6,2,5,influance compliance
2,6,1,5,influance compliance
1,6,2,5,influance compliance
1,6,1,5,influance compliance
2,6,2,2,influance compliance
2,6,1,4,influance compliance
1,6,2,4,influance compliance
1,6,1,4,influance compliance
2,6,2,3,influance compliance
2,6,1,3,influance compliance
1,6,2,3,influance compliance
1,6,1,3,influance compliance
1,5,1,4,influance compliance
1,5,1,3,influance compliance
1,5,1,2,influance compliance
7,8,6,5,influance dominance steadiness
7,8,6,4,influance dominance steadiness
7,8,6,3,influance dominance steadiness
7,8,6,2,influance dominance steadiness
7,8,6,1,influance dominance steadiness
6,7,5,4,influance dominance steadiness
6,7,5,3,influance dominance steadiness
6,7,5,2,influance dominance steadiness
6,7,5,1,influance dominance steadiness
5,6,4,3,influance dominance steadiness
5,6,4,2,influance dominance steadiness
5,6,4,1,influance dominance steadiness
4,5,3,2,influance dominance steadiness
4,5,3,1,influance dominance steadiness
3,4,2,1,influance dominance steadiness
7,8,4,6,influance dominance compliance
7,8,3,6,influance dominance compliance
7,8,2,6,influance dominance compliance
7,8,1,6,influance dominance compliance
6,7,4,5,influance dominance compliance
6,7,3,5,influance dominance compliance
6,7,2,5,influance dominance compliance
6,7,1,5,influance dominance compliance
5,6,3,4,influance dominance compliance
5,6,2,4,influance dominance compliance
5,6,1,4,influance dominance compliance
4,5,2,3,influance dominance compliance
4,5,1,3,influance dominance compliance
3,4,1,2,influance dominance compliance
6,8,7,4,influance steadiness dominance
6,8,7,3,influance steadiness dominance
6,8,7,2,influance steadiness dominance
6,8,7,1,influance steadiness dominance
5,7,6,4,influance steadiness dominance
5,7,6,3,influance steadiness dominance
5,7,6,2,influance steadiness dominance
5,7,6,1,influance steadiness dominance
4,6,5,3,influance steadiness dominance
4,6,5,2,influance steadiness dominance
4,6,5,1,influance steadiness dominance
3,5,4,2,influance steadiness dominance
3,5,4,1,influance steadiness dominance
2,4,3,1,influance steadiness dominance
4,8,7,6,influance steadiness compliance
3,8,7,6,influance steadiness compliance
2,8,7,6,influance steadiness compliance
1,8,7,6,influance steadiness compliance
4,7,6,5,influance steadiness compliance
3,7,6,5,influance steadiness compliance
2,7,6,5,influance steadiness compliance
1,7,6,5,influance steadiness compliance
3,6,5,4,influance steadiness compliance
2,6,5,4,influance steadiness compliance
1,6,5,4,influance steadiness compliance
2,5,4,3,influance steadiness compliance
1,5,4,3,influance steadiness compliance
1,4,3,2,influance steadiness compliance
6,8,4,7,influance compliance dominance
6,8,3,7,influance compliance dominance
6,8,2,7,influance compliance dominance
6,8,1,7,influance compliance dominance
5,7,4,6,influance compliance dominance
5,7,3,6,influance compliance dominance
5,7,2,6,influance compliance dominance
5,7,1,6,influance compliance dominance
4,6,3,5,influance compliance dominance
4,6,2,5,influance compliance dominance
4,6,1,5,influance compliance dominance
3,5,2,4,influance compliance dominance
3,5,1,4,influance compliance dominance
2,4,1,3,influance compliance dominance
4,8,6,7,influance compliance steadiness
3,8,6,7,influance compliance steadiness
2,8,6,7,influance compliance steadiness
1,8,6,7,influance compliance steadiness
4,7,5,6,influance compliance steadiness
3,7,5,6,influance compliance steadiness
2,7,5,6,influance compliance steadiness
1,7,5,6,influance compliance steadiness
3,6,4,5,influance compliance steadiness
2,6,4,5,influance compliance steadiness
1,6,4,5,influance compliance steadiness
2,5,3,4,influance compliance steadiness
1,5,3,4,influance compliance steadiness
1,4,2,3,influance compliance steadiness
4,4,8,4,steadiness
4,4,8,3,steadiness
4,4,8,2,steadiness
4,4,8,1,steadiness
4,3,8,4,steadiness
4,3,8,3,steadiness
4,3,8,2,steadiness
4,3,8,1,steadiness
4,2,8,4,steadiness
4,2,8,3,steadiness
4,2,8,2,steadiness
4,2,8,1,steadiness
4,1,8,4,steadiness
4,1,8,3,steadiness
4,1,8,2,steadiness
4,1,8,1,steadiness
3,4,8,4,steadiness
3,4,8,3,steadiness
3,4,8,2,steadiness
3,4,8,1,steadiness
3,3,8,4,steadiness
3,3,8,3,steadiness
3,3,8,2,steadiness
3,3,8,1,steadiness
3,2,8,4,steadiness
3,2,8,3,steadiness
3,2,8,2,steadiness
3,2,8,1,steadiness
3,1,8,4,steadiness
3,1,8,3,steadiness
3,1,8,2,steadiness
3,1,8,1,steadiness
3,3,7,3,steadiness
3,3,7,2,steadiness
3,3,7,1,steadiness
3,2,7,3,steadiness
3,2,7,2,steadiness
3,2,7,1,steadiness
3,1,7,3,steadiness
3,1,7,2,steadiness
3,1,7,1,steadiness
2,2,7,2,steadiness
2,2,7,1,steadiness
2,1,7,2,steadiness
2,1,7,1,steadiness
1,2,7,2,steadiness
1,2,7,1,steadiness
1,1,7,1,steadiness
2,2,6,2,steadiness
2,2,6,1,steadiness
2,1,6,2,steadiness
2,1,6,1,steadiness
1,2,6,2,steadiness
1,2,6,1,steadiness
1,1,6,2,steadiness
1,1,6,1,steadiness
1,1,5,1,steadiness
7,4,8,4,steadiness dominance
7,4,8,3,steadiness dominance
7,4,8,2,steadiness dominance
7,4,8,1,steadiness dominance
7,3,8,4,steadiness dominance
7,3,8,3,steadiness dominance
7,3,8,2,steadiness dominance
7,3,8,1,steadiness dominance
7,2,8,4,steadiness dominance
7,2,8,3,steadiness dominance
7,2,8,2,steadiness dominance
7,2,8,1,steadiness dominance
7,1,8,4,steadiness dominance
7,1,8,3,steadiness dominance
7,1,8,2,steadiness dominance
7,1,8,1,steadiness dominance
6,4,8,4,steadiness dominance
6,4,8,3,steadiness dominance
6,4,8,2,steadiness dominance
6,4,8,1,steadiness dominance
6,3,8,4,steadiness dominance
6,3,8,3,steadiness dominance
6,3,8,2,steadiness dominance
6,3,8,1,steadiness dominance
6,2,8,4,steadiness dominance
6,2,8,3,steadiness dominance
6,2,8,2,steadiness dominance
6,2,8,1,steadiness dominance
6,1,8,4,steadiness dominance
6,1,8,3,steadiness dominance
6,1,8,2,steadiness dominance
6,1,8,1,steadiness dominance
5,4,8,4,steadiness dominance
5,4,8,3,steadiness dominance
5,4,8,2,steadiness dominance
5,4,8,1,steadiness dominance
5,3,8,4,steadiness dominance
5,3,8,3,steadiness dominance
5,3,8,2,steadiness dominance
5,3,8,1,steadiness dominance
5,2,8,4,steadiness dominance
5,2,8,3,steadiness dominance
5,2,8,2,steadiness dominance
5,2,8,1,steadiness dominance
5,1,8,4,steadiness dominance
5,1,8,3,steadiness dominance
5,1,8,2,steadiness dominance
5,1,8,1,steadiness dominance
6,3,7,3,steadiness dominance
6,3,7,2,steadiness dominance
6,3,7,1,steadiness dominance
6,2,7,3,steadiness dominance
6,2,7,2,steadiness dominance
6,2,7,1,steadiness dominance
